,level_0,CustomerID,Recency,Frequency,Monetory,R,F,M,RFM,RFM_Score,Loyality
985,985,1328.0,8,18,85580.0,1,2,2,122,5,Platinum
986,986,1329.0,134,1,2532.0,3,4,4,344,11,Bronze
987,987,1330.0,33,10,19642.0,2,3,3,233,8,Gold
988,988,1331.0,68,1,1680.0,3,4,4,344,11,Bronze
989,989,1332.0,55,1,2808.0,2,4,4,244,10,Silver
990,990,1333.0,4,6,16680.0,1,3,3,133,7,Gold
991,991,1334.0,83,2,5520.0,3,4,4,344,11,Bronze
992,992,1335.0,375,3,5070.0,4,4,4,444,12,Bronze
993,993,1336.0,141,2,3644.0,3,4,4,344,11,Bronze
994,994,1337.0,163,2,51936.0,4,4,2,442,10,Silver
995,995,1338.0,10,24,41367.0,1,2,2,122,5,Platinum
996,996,1341.0,215,4,4938.0,4,3,4,434,11,Bronze
997,997,1342.0,39,2,3216.0,2,4,4,244,10,Silver
998,998,1343.0,77,6,11432.0,3,3,3,333,9,Silver
999,999,1344.0,240,2,3544.0,4,4,4,444,12,Bronze
1000,1000,1345.0,272,1,1926.0,4,4,4,444,12,Bronze
1001,1001,1346.0,13,140,1285285.0,1,1,1,111,3,Platinum
1002,1002,1347.0,288,2,2628.0,4,4,4,444,12,Bronze
1003,1003,1348.0,43,1,1420.0,2,4,4,244,10,Silver
1004,1004,1349.0,20,77,31983.0,1,1,2,112,4,Platinum
1005,1005,1350.0,216,5,6382.0,4,3,4,434,11,Bronze
1006,1006,1352.0,157,2,14652.0,4,4,3,443,11,Bronze
1007,1007,1353.0,83,1,3168.0,3,4,4,344,11,Bronze
1008,1008,1355.0,43,2,1061.0,2,4,4,244,10,Silver
1009,1009,1356.0,103,2,1212.0,3,4,4,344,11,Bronze
1010,1010,1359.0,65,7,18840.0,3,3,3,333,9,Silver
1011,1011,1361.0,100,2,6528.0,3,4,4,344,11,Bronze
1012,1012,1362.0,10,33,30299.0,1,2,2,122,5,Platinum
1013,1013,1363.0,47,6,2711.0,2,3,4,234,9,Silver
1014,1014,1364.0,109,16,26472.0,3,2,2,322,7,Gold
1015,1015,1365.0,67,3,5386.0,3,4,4,344,11,Bronze
1016,1016,1368.0,8,38,102885.0,1,2,1,121,4,Platinum
1017,1017,1369.0,4,17,35222.0,1,2,2,122,5,Platinum
1018,1018,1371.0,5,51,106585.0,1,1,1,111,3,Platinum
1019,1019,1374.0,22,1,1364.0,2,4,4,244,10,Silver
1020,1020,1377.0,4,2,880.0,1,4,4,144,9,Silver
1021,1021,1378.0,266,2,516.0,4,4,4,444,12,Bronze
1022,1022,1379.0,243,1,3408.0,4,4,4,444,12,Bronze
1023,1023,1382.0,200,4,12363.0,4,3,3,433,10,Silver
1024,1024,1383.0,55,13,22387.0,2,2,3,223,7,Gold
1025,1025,1386.0,35,5,10066.0,2,3,3,233,8,Gold
1026,1026,1387.0,188,3,5856.0,4,4,4,444,12,Bronze
1027,1027,1388.0,41,4,8490.0,2,3,3,233,8,Gold
1028,1028,1389.0,41,1,1596.0,2,4,4,244,10,Silver
1029,1029,1390.0,43,1,3120.0,2,4,4,244,10,Silver
1030,1030,1391.0,10,1,732.0,1,4,4,144,9,Silver
1031,1031,1393.0,89,1,2724.0,3,4,4,344,11,Bronze
1032,1032,1394.0,187,2,3244.0,4,4,4,444,12,Bronze
1033,1033,1395.0,158,2,5460.0,4,4,4,444,12,Bronze
1034,1034,1396.0,216,4,1034.0,4,3,4,434,11,Bronze
1035,1035,1397.0,71,3,6810.0,3,4,3,343,10,Silver
1036,1036,1398.0,93,4,7318.0,3,3,3,333,9,Silver
1037,1037,1399.0,323,2,-108.0,4,4,4,444,12,Bronze
1038,1038,1400.0,188,5,10878.0,4,3,3,433,10,Silver
1039,1039,1401.0,45,14,23698.0,2,2,3,223,7,Gold
1040,1040,1402.0,52,2,8868.0,2,4,3,243,9,Silver
1041,1041,1403.0,63,1,115.0,3,4,4,344,11,Bronze
1042,1042,1404.0,79,4,10716.0,3,3,3,333,9,Silver
1043,1043,1405.0,88,1,3696.0,3,4,4,344,11,Bronze
1044,1044,1408.0,247,3,10554.0,4,4,3,443,11,Bronze
1045,1045,1409.0,34,2,5700.0,2,4,4,244,10,Silver
1046,1046,1412.0,46,3,7248.0,2,4,3,243,9,Silver
1047,1047,1413.0,220,7,15996.0,4,3,3,433,10,Silver
1048,1048,1414.0,113,5,11664.0,3,3,3,333,9,Silver
1049,1049,1415.0,280,4,3102.0,4,3,4,434,11,Bronze
1050,1050,1416.0,320,2,3864.0,4,4,4,444,12,Bronze
1051,1051,1417.0,12,8,19254.0,1,3,3,133,7,Gold
1052,1052,1418.0,4,10,26352.0,1,3,2,132,6,Gold
1053,1053,1419.0,261,4,6742.0,4,3,3,433,10,Silver
1054,1054,1420.0,128,4,7458.0,3,3,3,333,9,Silver
1055,1055,1421.0,302,3,18300.0,4,4,3,443,11,Bronze
1056,1056,1423.0,60,4,7058.0,3,3,3,333,9,Silver
1057,1057,1424.0,12,23,77788.0,1,2,2,122,5,Platinum
1058,1058,1426.0,119,2,3940.0,3,4,4,344,11,Bronze
1059,1059,1427.0,151,5,6552.0,3,3,3,333,9,Silver
1060,1060,1428.0,333,4,8514.0,4,3,3,433,10,Silver
1061,1061,1430.0,83,2,3862.0,3,4,4,344,11,Bronze
1062,1062,1431.0,140,2,4789.0,3,4,4,344,11,Bronze
1063,1063,1432.0,186,6,6753.0,4,3,3,433,10,Silver
1064,1064,1433.0,16,12,28528.0,1,3,2,132,6,Gold
1065,1065,1435.0,4,6,20460.0,1,3,3,133,7,Gold
1066,1066,1437.0,85,2,12156.0,3,4,3,343,10,Silver
1067,1067,1438.0,24,23,55038.0,2,2,2,222,6,Gold
1068,1068,1439.0,12,1,2472.0,1,4,4,144,9,Silver
1069,1069,1442.0,17,12,44158.0,1,3,2,132,6,Gold
1070,1070,1443.0,4,24,67765.0,1,2,2,122,5,Platinum
1071,1071,1444.0,9,8,113250.0,1,3,1,131,5,Platinum
1072,1072,1445.0,10,4,8304.0,1,3,3,133,7,Gold
1073,1073,1447.0,62,4,8608.0,3,3,3,333,9,Silver
1074,1074,1448.0,32,99,459764.0,2,1,1,211,4,Platinum
1075,1075,1449.0,9,12,31196.0,1,3,2,132,6,Gold
1076,1076,1452.0,224,2,4392.0,4,4,4,444,12,Bronze
1077,1077,1453.0,137,4,6522.0,3,3,4,334,10,Silver
1078,1078,1455.0,92,9,18624.0,3,3,3,333,9,Silver
1079,1079,1456.0,10,13,60168.0,1,2,2,122,5,Platinum
1080,1080,1457.0,232,3,1136.0,4,4,4,444,12,Bronze
1081,1081,1458.0,56,2,3528.0,2,4,4,244,10,Silver
1082,1082,1460.0,46,8,19666.0,2,3,3,233,8,Gold
1083,1083,1461.0,70,2,6153.0,3,4,4,344,11,Bronze
1084,1084,1462.0,325,10,7416.0,4,3,3,433,10,Silver
1085,1085,1463.0,180,4,5785.0,4,3,4,434,11,Bronze
1086,1086,1464.0,240,1,2436.0,4,4,4,444,12,Bronze
1087,1087,1467.0,20,18,35264.0,1,2,2,122,5,Platinum
1088,1088,1468.0,137,2,3870.0,3,4,4,344,11,Bronze
1089,1089,1469.0,29,2,5100.0,2,4,4,244,10,Silver
1090,1090,1470.0,68,4,13503.0,3,3,3,333,9,Silver
1091,1091,1471.0,24,9,20790.0,2,3,3,233,8,Gold
1092,1092,1472.0,17,6,7406.0,1,3,3,133,7,Gold
1093,1093,1473.0,22,4,17928.0,2,3,3,233,8,Gold
1094,1094,1474.0,199,1,2136.0,4,4,4,444,12,Bronze
1095,1095,1477.0,46,7,14534.0,2,3,3,233,8,Gold
1096,1096,1478.0,34,1,1746.0,2,4,4,244,10,Silver
1097,1097,1481.0,123,4,9105.0,3,3,3,333,9,Silver
1098,1098,1482.0,262,2,6840.0,4,4,3,443,11,Bronze
1099,1099,1483.0,18,1,699.0,1,4,4,144,9,Silver
1100,1100,1484.0,275,3,5358.0,4,4,4,444,12,Bronze
1101,1101,1486.0,236,2,6384.0,4,4,4,444,12,Bronze
1102,1102,1490.0,80,4,9630.0,3,3,3,333,9,Silver
1103,1103,1491.0,46,2,4982.0,2,4,4,244,10,Silver
1104,1104,1492.0,45,2,3570.0,2,4,4,244,10,Silver
1105,1105,1493.0,41,10,24590.0,2,3,3,233,8,Gold
1106,1106,1494.0,30,2,1824.0,2,4,4,244,10,Silver
1107,1107,1495.0,113,4,6640.0,3,3,3,333,9,Silver
1108,1108,1496.0,12,22,41107.0,1,2,2,122,5,Platinum
1109,1109,1497.0,328,1,2856.0,4,4,4,444,12,Bronze
1110,1110,1500.0,191,1,366.0,4,4,4,444,12,Bronze
1111,1111,1502.0,53,4,2483.0,2,3,4,234,9,Silver
1112,1112,1503.0,54,4,1744.0,2,3,4,234,9,Silver
1113,1113,1504.0,29,9,5262.0,2,3,4,234,9,Silver
1114,1114,1505.0,70,1,1920.0,3,4,4,344,11,Bronze
1115,1115,1506.0,13,3,5896.0,1,4,4,144,9,Silver
1116,1116,1508.0,39,10,19579.0,2,3,3,233,8,Gold
1117,1117,1509.0,12,9,20140.0,1,3,3,133,7,Gold
1118,1118,1510.0,18,8,25152.0,1,3,3,133,7,Gold
1119,1119,1511.0,12,12,45361.0,1,3,2,132,6,Gold
1120,1120,1513.0,82,6,3353.0,3,3,4,334,10,Silver
1121,1121,1514.0,373,1,304.0,4,4,4,444,12,Bronze
1122,1122,1515.0,12,6,21260.0,1,3,3,133,7,Gold
1123,1123,1517.0,39,5,14772.0,2,3,3,233,8,Gold
1124,1124,1519.0,36,8,18519.0,2,3,3,233,8,Gold
1125,1125,1521.0,135,5,13096.0,3,3,3,333,9,Silver
1126,1126,1522.0,132,5,17532.0,3,3,3,333,9,Silver
1127,1127,1523.0,321,1,4092.0,4,4,4,444,12,Bronze
1128,1128,1524.0,17,29,1989.0,1,2,4,124,7,Gold
1129,1129,1525.0,316,2,15636.0,4,4,3,443,11,Bronze
1130,1130,1526.0,50,2,5108.0,2,4,4,244,10,Silver
1131,1131,1527.0,366,2,1692.0,4,4,4,444,12,Bronze
1132,1132,1528.0,109,5,19380.0,3,3,3,333,9,Silver
1133,1133,1529.0,3,30,33749.0,1,2,2,122,5,Platinum
1134,1134,1531.0,5,17,38724.0,1,2,2,122,5,Platinum
1135,1135,1532.0,12,23,18146.0,1,2,3,123,6,Gold
1136,1136,1533.0,101,5,10626.0,3,3,3,333,9,Silver
1137,1137,1534.0,217,1,564.0,4,4,4,444,12,Bronze
1138,1138,1535.0,26,2,4836.0,2,4,4,244,10,Silver
1139,1139,1538.0,25,11,21942.0,2,3,3,233,8,Gold
1140,1140,1539.0,71,2,5604.0,3,4,4,344,11,Bronze
1141,1141,1540.0,38,7,4172.0,2,3,4,234,9,Silver
1142,1142,1541.0,304,2,4218.0,4,4,4,444,12,Bronze
1143,1143,1542.0,28,22,28580.0,2,2,2,222,6,Gold
1144,1144,1544.0,101,1,1056.0,3,4,4,344,11,Bronze
1145,1145,1547.0,324,2,15564.0,4,4,3,443,11,Bronze
1146,1146,1548.0,16,1,1548.0,1,4,4,144,9,Silver
1147,1147,1549.0,30,4,8017.0,2,3,3,233,8,Gold
1148,1148,1550.0,206,3,8894.0,4,4,3,443,11,Bronze
1149,1149,1551.0,54,6,14914.0,2,3,3,233,8,Gold
1150,1150,1552.0,1,19,9213.0,1,2,3,123,6,Gold
1151,1151,1553.0,60,3,4572.0,3,4,4,344,11,Bronze
1152,1152,1554.0,12,1,24192.0,1,4,3,143,8,Gold
1153,1153,1555.0,68,10,4932.0,3,3,4,334,10,Silver
1154,1154,1556.0,189,4,7361.0,4,3,3,433,10,Silver
1155,1155,1557.0,64,5,3997.0,3,3,4,334,10,Silver
1156,1156,1558.0,14,3,2280.0,1,4,4,144,9,Silver
1157,1157,1560.0,8,46,15693.0,1,1,3,113,5,Platinum
1158,1158,1562.0,157,4,31320.0,4,3,2,432,9,Silver
1159,1159,1564.0,150,15,19501.0,3,2,3,323,8,Gold
1160,1160,1565.0,68,3,2942.0,3,4,4,344,11,Bronze
1161,1161,1567.0,249,6,2214.0,4,3,4,434,11,Bronze
1162,1162,1568.0,31,9,20440.0,2,3,3,233,8,Gold
1163,1163,1569.0,33,3,1722.0,2,4,4,244,10,Silver
1164,1164,1570.0,289,5,5251.0,4,3,4,434,11,Bronze
1165,1165,1571.0,110,6,4821.0,3,3,4,334,10,Silver
1166,1166,1572.0,79,1,3888.0,3,4,4,344,11,Bronze
1167,1167,1574.0,80,1,3576.0,3,4,4,344,11,Bronze
1168,1168,1577.0,367,2,3420.0,4,4,4,444,12,Bronze
1169,1169,1578.0,12,2,4368.0,1,4,4,144,9,Silver
1170,1170,1579.0,172,3,11184.0,4,4,3,443,11,Bronze
1171,1171,1580.0,24,14,11125.0,2,2,3,223,7,Gold
1172,1172,1581.0,285,3,3255.0,4,4,4,444,12,Bronze
1173,1173,1582.0,59,1,3018.0,3,4,4,344,11,Bronze
1174,1174,1583.0,39,5,2658.0,2,3,4,234,9,Silver
1175,1175,1584.0,30,5,1664.0,2,3,4,234,9,Silver
1176,1176,1585.0,58,4,5803.0,3,3,4,334,10,Silver
1177,1177,1586.0,208,1,1360.0,4,4,4,444,12,Bronze
1178,1178,1587.0,183,1,2568.0,4,4,4,444,12,Bronze
1179,1179,1588.0,11,16,33011.0,1,2,2,122,5,Platinum
1180,1180,1590.0,59,2,5506.0,3,4,4,344,11,Bronze
1181,1181,1591.0,319,1,2196.0,4,4,4,444,12,Bronze
1182,1182,1592.0,310,2,4068.0,4,4,4,444,12,Bronze
1183,1183,1593.0,45,5,4682.0,2,3,4,234,9,Silver
1184,1184,1594.0,27,7,4886.0,2,3,4,234,9,Silver
1185,1185,1597.0,21,38,17092.0,1,2,3,123,6,Gold
1186,1186,1598.0,8,15,41876.0,1,2,2,122,5,Platinum
1187,1187,1599.0,246,5,3009.0,4,3,4,434,11,Bronze
1188,1188,1600.0,18,44,30203.0,1,2,2,122,5,Platinum
1189,1189,1601.0,22,11,5903.0,2,3,4,234,9,Silver
1190,1190,1602.0,47,9,5752.0,2,3,4,234,9,Silver
1191,1191,1603.0,23,5,2688.0,2,3,4,234,9,Silver
1192,1192,1606.0,109,2,19982.0,3,4,3,343,10,Silver
1193,1193,1607.0,206,2,2234.0,4,4,4,444,12,Bronze
1194,1194,1614.0,78,9,6252.0,3,3,4,334,10,Silver
1195,1195,1615.0,28,12,6314.0,2,3,4,234,9,Silver
1196,1196,1616.0,15,50,37834.0,1,1,2,112,4,Platinum
1197,1197,1617.0,43,2,4102.0,2,4,4,244,10,Silver
1198,1198,1618.0,61,15,3421.0,3,2,4,324,9,Silver
1199,1199,1619.0,26,4,4279.0,2,3,4,234,9,Silver
1200,1200,1620.0,239,3,4103.0,4,4,4,444,12,Bronze
1201,1201,1621.0,26,10,29626.0,2,3,2,232,7,Gold
1202,1202,1622.0,7,49,33957.0,1,1,2,112,4,Platinum
1203,1203,1623.0,63,5,7640.0,3,3,3,333,9,Silver
1204,1204,1624.0,263,1,895.0,4,4,4,444,12,Bronze
1205,1205,1626.0,66,1,1980.0,3,4,4,344,11,Bronze
1206,1206,1627.0,20,3,9096.0,1,4,3,143,8,Gold
1207,1207,1628.0,80,4,4162.0,3,3,4,334,10,Silver
1208,1208,1629.0,317,15,6060.0,4,2,4,424,10,Silver
1209,1209,1631.0,136,2,8352.0,3,4,3,343,10,Silver
1210,1210,1632.0,25,4,7390.0,2,3,3,233,8,Gold
1211,1211,1633.0,8,13,7899.0,1,2,3,123,6,Gold
1212,1212,1634.0,19,16,17765.0,1,2,3,123,6,Gold
1213,1213,1636.0,314,3,787.0,4,4,4,444,12,Bronze
1214,1214,1637.0,14,4,4188.0,1,3,4,134,8,Gold
1215,1215,1638.0,205,1,1343.0,4,4,4,444,12,Bronze
1216,1216,1639.0,153,3,1193.0,4,4,4,444,12,Bronze
1217,1217,1640.0,42,5,3026.0,2,3,4,234,9,Silver
1218,1218,1641.0,24,12,9966.0,2,3,3,233,8,Gold
1219,1219,1642.0,304,1,8784.0,4,4,3,443,11,Bronze
1220,1220,1643.0,70,3,10512.0,3,4,3,343,10,Silver
1221,1221,1644.0,17,3,13980.0,1,4,3,143,8,Gold
1222,1222,1645.0,187,1,1872.0,4,4,4,444,12,Bronze
1223,1223,1646.0,7,34,63189.0,1,2,2,122,5,Platinum
1224,1224,1647.0,102,11,33292.0,3,3,2,332,8,Gold
1225,1225,1650.0,9,1,190.0,1,4,4,144,9,Silver
1226,1226,1651.0,283,1,1023.0,4,4,4,444,12,Bronze
1227,1227,1652.0,45,21,23966.0,2,2,3,223,7,Gold
1228,1228,1653.0,216,13,4584.0,4,2,4,424,10,Silver
1229,1229,1655.0,17,7,5111.0,1,3,4,134,8,Gold
1230,1230,1656.0,4,1,1512.0,1,4,4,144,9,Silver
1231,1231,1659.0,6,16,5742.0,1,2,4,124,7,Gold
1232,1232,1661.0,51,2,1397.0,2,4,4,244,10,Silver
1233,1233,1663.0,268,5,948.0,4,3,4,434,11,Bronze
1234,1234,1665.0,17,7,2382.0,1,3,4,134,8,Gold
1235,1235,1666.0,39,12,3560.0,2,3,4,234,9,Silver
1236,1236,1667.0,22,4,1595.0,2,3,4,234,9,Silver
1237,1237,1668.0,375,1,850.0,4,4,4,444,12,Bronze
1238,1238,1669.0,60,9,19655.0,3,3,3,333,9,Silver
1239,1239,1670.0,12,3,670.0,1,4,4,144,9,Silver
1240,1240,1671.0,45,2,928.0,2,4,4,244,10,Silver
1241,1241,1675.0,2,144,60361.0,1,1,2,112,4,Platinum
1242,1242,1676.0,19,6,52688.0,1,3,2,132,6,Gold
1243,1243,1682.0,208,6,9740.0,4,3,3,433,10,Silver
1244,1244,1683.0,6,2,4210.0,1,4,4,144,9,Silver
1245,1245,1685.0,34,6,4020.0,2,3,4,234,9,Silver
1246,1246,1686.0,64,1,2568.0,3,4,4,344,11,Bronze
1247,1247,1687.0,190,6,4504.0,4,3,4,434,11,Bronze
1248,1248,1688.0,28,5,9072.0,2,3,3,233,8,Gold
1249,1249,1690.0,95,3,6390.0,3,4,4,344,11,Bronze
1250,1250,1691.0,8,3,2851.0,1,4,4,144,9,Silver
1251,1251,1692.0,57,2,8766.0,3,4,3,343,10,Silver
1252,1252,1695.0,38,4,11878.0,2,3,3,233,8,Gold
1253,1253,1697.0,121,8,18294.0,3,3,3,333,9,Silver
1254,1254,1698.0,150,1,1344.0,3,4,4,344,11,Bronze
1255,1255,1701.0,171,1,4224.0,4,4,4,444,12,Bronze
1256,1256,1702.0,73,2,5592.0,3,4,4,344,11,Bronze
1257,1257,1703.0,160,4,6846.0,4,3,3,433,10,Silver
1258,1258,1704.0,3,228,4749564.0,1,1,1,111,3,Platinum
1259,1259,1705.0,209,1,1182.0,4,4,4,444,12,Bronze
1260,1260,1706.0,7,9,18876.0,1,3,3,133,7,Gold
1261,1261,1707.0,70,5,2419.0,3,3,4,334,10,Silver
1262,1262,1709.0,9,24,20444.0,1,2,3,123,6,Gold
1263,1263,1711.0,177,2,1055.0,4,4,4,444,12,Bronze
1264,1264,1712.0,20,14,13500.0,1,2,3,123,6,Gold
1265,1265,1713.0,9,3,2242.0,1,4,4,144,9,Silver
1266,1266,1714.0,41,15,17023.0,2,2,3,223,7,Gold
1267,1267,1715.0,90,6,4300.0,3,3,4,334,10,Silver
1268,1268,1717.0,29,14,7904.0,2,2,3,223,7,Gold
1269,1269,1718.0,34,6,5004.0,2,3,4,234,9,Silver
1270,1270,1719.0,305,5,7946.0,4,3,3,433,10,Silver
1271,1271,1720.0,30,1,2184.0,2,4,4,244,10,Silver
1272,1272,1721.0,11,13,28986.0,1,2,2,122,5,Platinum
1273,1273,1722.0,244,12,10387.0,4,3,3,433,10,Silver
1274,1274,1723.0,281,9,2829.0,4,3,4,434,11,Bronze
1275,1275,1724.0,243,4,6244.0,4,3,4,434,11,Bronze
1276,1276,1725.0,39,1,2244.0,2,4,4,244,10,Silver
1277,1277,1726.0,17,9,13386.0,1,3,3,133,7,Gold
1278,1278,1727.0,84,1,14608.0,3,4,3,343,10,Silver
1279,1279,1729.0,30,37,359510.0,2,2,1,221,5,Platinum
1280,1280,1732.0,26,17,4038.0,2,2,4,224,8,Gold
1281,1281,1733.0,114,1,4176.0,3,4,4,344,11,Bronze
1282,1282,1734.0,14,14,12011.0,1,2,3,123,6,Gold
1283,1283,1736.0,153,1,848.0,4,4,4,444,12,Bronze
1284,1284,1738.0,323,2,2514.0,4,4,4,444,12,Bronze
1285,1285,1740.0,11,8,15687.0,1,3,3,133,7,Gold
1286,1286,1741.0,226,1,232.0,4,4,4,444,12,Bronze
1287,1287,1742.0,2,11,7507.0,1,3,3,133,7,Gold
1288,1288,1744.0,35,3,5104.0,2,4,4,244,10,Silver
1289,1289,1745.0,14,18,12694.0,1,2,3,123,6,Gold
1290,1290,1746.0,40,5,5302.0,2,3,4,234,9,Silver
1291,1291,1747.0,18,3,4726.0,1,4,4,144,9,Silver
1292,1292,1748.0,23,16,5092.0,2,2,4,224,8,Gold
1293,1293,1750.0,378,1,15168.0,4,4,3,443,11,Bronze
1294,1294,1752.0,16,12,11910.0,1,3,3,133,7,Gold
1295,1295,1753.0,14,12,8315.0,1,3,3,133,7,Gold
1296,1296,1755.0,136,10,7645.0,3,3,3,333,9,Silver
1297,1297,1757.0,100,1,534.0,3,4,4,344,11,Bronze
1298,1298,1758.0,49,3,1697.0,2,4,4,244,10,Silver
1299,1299,1759.0,2,21,12949.0,1,2,3,123,6,Gold
1300,1300,1761.0,149,3,698.0,3,4,4,344,11,Bronze
1301,1301,1762.0,15,10,3261.0,1,3,4,134,8,Gold
1302,1302,1763.0,25,3,4364.0,2,4,4,244,10,Silver
1303,1303,1766.0,2,50,28075.0,1,1,2,112,4,Platinum
1304,1304,1767.0,50,2,2880.0,2,4,4,244,10,Silver
1305,1305,1768.0,95,6,11658.0,3,3,3,333,9,Silver
1306,1306,1769.0,177,10,34152.0,4,3,2,432,9,Silver
1307,1307,1770.0,6,35,95854.0,1,2,1,121,4,Platinum
1308,1308,1772.0,48,6,11204.0,2,3,3,233,8,Gold
1309,1309,1773.0,12,7,59848.0,1,3,2,132,6,Gold
1310,1310,1774.0,232,5,9624.0,4,3,3,433,10,Silver
1311,1311,1776.0,65,1,199.0,3,4,4,344,11,Bronze
1312,1312,1777.0,143,1,1938.0,3,4,4,344,11,Bronze
1313,1313,1778.0,252,1,1518.0,4,4,4,444,12,Bronze
1314,1314,1779.0,125,4,8664.0,3,3,3,333,9,Silver
1315,1315,1780.0,46,1,5016.0,2,4,4,244,10,Silver
1316,1316,1782.0,45,4,8436.0,2,3,3,233,8,Gold
1317,1317,1783.0,74,16,29450.0,3,2,2,322,7,Gold
1318,1318,1784.0,18,5,18208.0,1,3,3,133,7,Gold
1319,1319,1785.0,78,2,5338.0,3,4,4,344,11,Bronze
1320,1320,1786.0,213,3,7695.0,4,4,3,443,11,Bronze
1321,1321,1787.0,8,5,8908.0,1,3,3,133,7,Gold
1322,1322,1789.0,338,4,6786.0,4,3,3,433,10,Silver
1323,1323,1790.0,266,4,8115.0,4,3,3,433,10,Silver
1324,1324,1792.0,36,1,247.0,2,4,4,244,10,Silver
1325,1325,1793.0,81,2,5820.0,3,4,4,344,11,Bronze
1326,1326,1795.0,8,76,97171.0,1,1,1,111,3,Platinum
1327,1327,1796.0,326,1,5544.0,4,4,4,444,12,Bronze
1328,1328,1797.0,116,1,3672.0,3,4,4,344,11,Bronze
1329,1329,1798.0,139,6,21492.0,3,3,3,333,9,Silver
1330,1330,1799.0,182,1,2712.0,4,4,4,444,12,Bronze
1331,1331,1800.0,14,2,-694.0,1,4,4,144,9,Silver
1332,1332,1801.0,311,6,12164.0,4,3,3,433,10,Silver
1333,1333,1803.0,58,2,3802.0,3,4,4,344,11,Bronze
1334,1334,1806.0,25,1,4944.0,2,4,4,244,10,Silver
1335,1335,1807.0,13,1,2292.0,1,4,4,144,9,Silver
1336,1336,1809.0,17,5,16112.0,1,3,3,133,7,Gold
1337,1337,1811.0,22,1,1130.0,2,4,4,244,10,Silver
1338,1338,1812.0,10,5,9338.0,1,3,3,133,7,Gold
1339,1339,1814.0,2,123,123855.0,1,1,1,111,3,Platinum
1340,1340,1815.0,56,2,3960.0,2,4,4,244,10,Silver
1341,1341,1816.0,52,1,5472.0,2,4,4,244,10,Silver
1342,1342,1817.0,57,29,42560.0,3,2,2,322,7,Gold
1343,1343,1818.0,69,1,432.0,3,4,4,344,11,Bronze
1344,1344,1819.0,163,3,2025.0,4,4,4,444,12,Bronze
1345,1345,1821.0,320,1,308.0,4,4,4,444,12,Bronze
1346,1346,1822.0,79,1,909.0,3,4,4,344,11,Bronze
1347,1347,1823.0,46,34,36166.0,2,2,2,222,6,Gold
1348,1348,1824.0,49,23,17074.0,2,2,3,223,7,Gold
1349,1349,1825.0,376,2,762.0,4,4,4,444,12,Bronze
1350,1350,1826.0,37,1,7200.0,2,4,3,243,9,Silver
1351,1351,1828.0,204,4,12788.0,4,3,3,433,10,Silver
1352,1352,1829.0,75,2,1179.0,3,4,4,344,11,Bronze
1353,1353,1831.0,41,2,3554.0,2,4,4,244,10,Silver
1354,1354,1833.0,183,5,1818.0,4,3,4,434,11,Bronze
1355,1355,1835.0,298,3,3608.0,4,4,4,444,12,Bronze
1356,1356,1836.0,197,1,11000.0,4,4,3,443,11,Bronze
1357,1357,1837.0,34,5,7588.0,2,3,3,233,8,Gold
1358,1358,1838.0,55,5,1040.0,2,3,4,234,9,Silver
1359,1359,1839.0,29,11,28141.0,2,3,2,232,7,Gold
1360,1360,1840.0,36,1,3156.0,2,4,4,244,10,Silver
1361,1361,1841.0,169,3,5454.0,4,4,4,444,12,Bronze
1362,1362,1843.0,279,1,2332.0,4,4,4,444,12,Bronze
1363,1363,1844.0,39,16,25087.0,2,2,3,223,7,Gold
1364,1364,1845.0,66,10,19272.0,3,3,3,333,9,Silver
1365,1365,1847.0,23,25,66992.0,2,2,2,222,6,Gold
1366,1366,1848.0,314,2,6468.0,4,4,4,444,12,Bronze
1367,1367,1850.0,68,3,10944.0,3,4,3,343,10,Silver
1368,1368,1851.0,32,1,1756.0,2,4,4,244,10,Silver
1369,1369,1852.0,135,6,13665.0,3,3,3,333,9,Silver
1370,1370,1854.0,60,3,7356.0,3,4,3,343,10,Silver
1371,1371,1855.0,63,4,8782.0,3,3,3,333,9,Silver
1372,1372,1856.0,19,7,10304.0,1,3,3,133,7,Gold
1373,1373,1859.0,29,6,15260.0,2,3,3,233,8,Gold
1374,1374,1862.0,11,5,68956.0,1,3,2,132,6,Gold
1375,1375,1863.0,226,1,3024.0,4,4,4,444,12,Bronze
1376,1376,1864.0,5,11,26160.0,1,3,2,132,6,Gold
1377,1377,1865.0,10,7,4673.0,1,3,4,134,8,Gold
1378,1378,1866.0,268,1,1926.0,4,4,4,444,12,Bronze
1379,1379,1867.0,4,6,1859.0,1,3,4,134,8,Gold
1380,1380,1869.0,108,5,10164.0,3,3,3,333,9,Silver
1381,1381,1870.0,14,8,11021.0,1,3,3,133,7,Gold
1382,1382,1871.0,80,7,14308.0,3,3,3,333,9,Silver
1383,1383,1872.0,27,1,5040.0,2,4,4,244,10,Silver
1384,1384,1874.0,23,3,4150.0,2,4,4,244,10,Silver
1385,1385,1875.0,134,1,7776.0,3,4,3,343,10,Silver
1386,1386,1876.0,257,2,4956.0,4,4,4,444,12,Bronze
1387,1387,1878.0,212,4,8648.0,4,3,3,433,10,Silver
1388,1388,1881.0,188,5,14874.0,4,3,3,433,10,Silver
1389,1389,1882.0,15,3,8368.0,1,4,3,143,8,Gold
1390,1390,1883.0,90,2,3720.0,3,4,4,344,11,Bronze
1391,1391,1884.0,10,29,78882.0,1,2,2,122,5,Platinum
